"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","FDIFLOW","INWARD","PC_GDP","A","2009",2.3389797750309,
"AUT","FDIFLOW","INWARD","PC_GDP","A","2010",0.6955518770353,
"AUT","FDIFLOW","INWARD","PC_GDP","A","2011",2.5063484390984,
"AUT","FDIFLOW","INWARD","PC_GDP","A","2012",0.9776631890938,
"AUT","FDIFLOW","INWARD","PC_GDP","A","2013",1.3512809600242,
"AUT","FDIFLOW","INWARD","PC_GDP","A","2014",1.0846098711667,
"AUT","FDIFLOW","INWARD","PC_GDP","A","2015",0.33890238068123,
"AUT","FDIFLOW","INWARD","PC_GDP","A","2016",-2.1223293019777,
"AUT","FDIFLOW","INWARD","PC_GDP","A","2017",3.577175137506,
"AUT","FDIFLOW","INWARD","PC_GDP","A","2018",1.2113696181993,
"AUT","FDIFLOW","INWARD","PC_GDP","A","2019",1.0758343146548,
"AUT","FDIFLOW","INWARD","PC_GDP","A","2020",-2.2864018790725,
"AUT","FDIFLOW","INWARD","PC_GDP","A","2021",3.5620426223536,
"AUT","FDIFLOW","INWARD","PC_GDP","A","2022",1.987657202271,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2005",3.523827946576,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2006",3.6627376593762,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2007",9.2697828033822,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2008",6.6776415502355,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2009",2.7473675802219,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2010",2.4340939230813,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2011",5.0971443178886,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2012",3.1901206372454,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2013",3.6258395250707,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2014",-0.15019058746669,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2015",1.810383411454,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2016",-0.33411950048247,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2017",2.5592160771538,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2018",1.2479441612755,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2019",2.8412801874279,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2020",1.7273698117546,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2021",5.2944425071764,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2022",1.6402974641802,
"BEL","FDIFLOW","INWARD","MLN_USD","A","2012",88627.249357326,
"BEL","FDIFLOW","INWARD","MLN_USD","A","2013",-5750.6969334926,
"BEL","FDIFLOW","INWARD","MLN_USD","A","2014",32081.730131352,
"BEL","FDIFLOW","INWARD","MLN_USD","A","2015",-24013.311148087,
"BEL","FDIFLOW","INWARD","MLN_USD","A","2016",68177.595930554,
"BEL","FDIFLOW","INWARD","MLN_USD","A","2017",-3057.1525194454,
"BEL","FDIFLOW","INWARD","MLN_USD","A","2018",27119.084149652,
"BEL","FDIFLOW","INWARD","MLN_USD","A","2019",11859.397738722,
"BEL","FDIFLOW","INWARD","MLN_USD","A","2020",3125.9259259259,
"BEL","FDIFLOW","INWARD","MLN_USD","A","2021",9903.02743614,
"BEL","FDIFLOW","INWARD","MLN_USD","A","2022",11535.387527605,
"BEL","FDIFLOW","OUTWARD","MLN_USD","A","2012",77030.848329049,
"BEL","FDIFLOW","OUTWARD","MLN_USD","A","2013",24853.312093455,
"BEL","FDIFLOW","OUTWARD","MLN_USD","A","2014",26737.428685153,
"BEL","FDIFLOW","OUTWARD","MLN_USD","A","2015",61560.732113145,
"BEL","FDIFLOW","OUTWARD","MLN_USD","A","2016",40163.662501382,
"BEL","FDIFLOW","OUTWARD","MLN_USD","A","2017",29562.619772292,
"BEL","FDIFLOW","OUTWARD","MLN_USD","A","2018",43553.640977222,
"BEL","FDIFLOW","OUTWARD","MLN_USD","A","2019",6113.2878092466,
"BEL","FDIFLOW","OUTWARD","MLN_USD","A","2020",5406.2678062678,
"BEL","FDIFLOW","OUTWARD","MLN_USD","A","2021",30089.877010407,
"BEL","FDIFLOW","OUTWARD","MLN_USD","A","2022",20283.941529078,
"BEL","FDIFLOW","INWARD","PC_GDP","A","2012",17.862890523733,
"BEL","FDIFLOW","INWARD","PC_GDP","A","2013",-1.1021073444143,
"BEL","FDIFLOW","INWARD","PC_GDP","A","2014",5.9922146747087,
"BEL","FDIFLOW","INWARD","PC_GDP","A","2015",-5.1939135009476,
"BEL","FDIFLOW","INWARD","PC_GDP","A","2016",14.321134928113,
"BEL","FDIFLOW","INWARD","PC_GDP","A","2017",-0.60806825130034,
"BEL","FDIFLOW","INWARD","PC_GDP","A","2018",4.9915569802438,
"BEL","FDIFLOW","INWARD","PC_GDP","A","2019",2.2131287258584,
"BEL","FDIFLOW","INWARD","PC_GDP","A","2020",0.59517287857555,
"BEL","FDIFLOW","INWARD","PC_GDP","A","2021",1.6661889648121,
"BEL","FDIFLOW","INWARD","PC_GDP","A","2022",1.9936581036334,
"BEL","FDIFLOW","OUTWARD","PC_GDP","A","2012",15.525626944647,
"BEL","FDIFLOW","OUTWARD","PC_GDP","A","2013",4.7630779552455,
"BEL","FDIFLOW","OUTWARD","PC_GDP","A","2014",4.994007862892,
"BEL","FDIFLOW","OUTWARD","PC_GDP","A","2015",13.315161565137,
"BEL","FDIFLOW","OUTWARD","PC_GDP","A","2016",8.4366311548355,
"BEL","FDIFLOW","OUTWARD","PC_GDP","A","2017",5.880011021516,
"BEL","FDIFLOW","OUTWARD","PC_GDP","A","2018",8.0165126312968,
"BEL","FDIFLOW","OUTWARD","PC_GDP","A","2019",1.1408246150568,
"BEL","FDIFLOW","OUTWARD","PC_GDP","A","2020",1.0293474793884,
"BEL","FDIFLOW","OUTWARD","PC_GDP","A","2021",5.0626357798757,
"BEL","FDIFLOW","OUTWARD","PC_GDP","A","2022",3.5056684750554,
